Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
217653;347952;30;07/01/2009;11;6;2009;269,3;5;6;16;56;4;10;TRUE
217665;349728;35;14/01/2009;12;9;2009;621,1;41;14;29;62;65;21;FALSE
217670;459651;40;29/06/2011;11;12;2011;452,7;33;25;48;44;17;14;FALSE
217680;352742;50;28/01/2009;13;12;2009;661,7;60;19;35;49;118;18;FALSE
217697;504022;35;14/07/2013;5;11;2013;460,1;52;6;21;50;50;3;FALSE
217698;504017;50;14/07/2013;5;9;2013;244,6;25;3;13;41;31;0;FALSE
217699;504019;55;14/07/2013;10;9;2013;233,8;22;8;3;15;14;6;FALSE
217701;503136;40;05/07/2013;4;11;2013;426,8;57;20;35;29;34;3;FALSE
217702;505121;40;01/08/2013;5;8;2013;300,7;17;37;5;11;7;15;FALSE
217707;505749;50;12/08/2013;16;8;2013;648,7;60;7;44;76;94;11;FALSE
217711;391418;50;22/09/2009;9;15;2009;216,4;6;30;15;57;4;5;FALSE
217712;369183;25;04/05/2009;8;7;2009;556,4;58;49;5;74;48;5;FALSE
217713;380093;95;03/07/2009;9;15;2009;564;42;17;31;53;38;18;FALSE
217714;504550;25;24/07/2013;8;7;2013;64,9;10;0;0;0;4;0;FALSE
217719;503212;85;06/07/2013;21;13;2013;230,7;23;15;15;31;30;2;FALSE
217724;355386;50;11/02/2009;5;12;2009;339,1;20;11;7;58;10;9;FALSE
217727;503133;125;05/07/2013;5;9;2013;69,9;6;3;8;10;2;1;FALSE
217729;503159;55;05/07/2013;9;10;2013;547,7;48;8;6;116;44;1;FALSE
217730;504362;35;20/07/2013;6;8;2013;205,8;21;37;30;4;9;6;FALSE
217732;467268;50;02/11/2011;7;15;2011;172,2;14;9;14;25;18;2;FALSE
217734;428738;30;06/06/2010;11;8;2010;700;49;14;33;44;45;27;FALSE
217736;504026;30;14/07/2013;10;7;2013;208,3;11;10;0;8;6;10;FALSE
217740;505701;50;11/08/2013;9;12;2013;578,9;29;47;58;51;17;25;FALSE
217741;504005;80;13/07/2013;24;11;2013;201,6;18;18;7;26;15;4;FALSE
217749;503165;60;05/07/2013;11;13;2013;361,4;19;9;8;92;14;2;FALSE
217753;423975;60;08/05/2010;8;20;2010;828,6;68;41;119;58;84;26;FALSE
217757;534955;65;18/01/2018;32;17;2018;602;58;162;10;15;95;23;FALSE
217769;421114;70;21/04/2010;7;20;2010;163;4;24;4;20;2;9;FALSE
217774;348961;120;11/01/2009;11;15;2009;293;19;41;29;43;19;7;FALSE
217775;423192;70;04/05/2010;6;10;2010;265,2;14;32;64;51;11;7;FALSE
217779;406881;30;05/01/2010;6;10;2010;332,7;12;18;9;50;10;14;FALSE
217781;350418;30;18/01/2009;8;10;2009;569,7;48;4;39;76;80;10;FALSE
217791;455759;80;11/05/2011;18;14;2011;290,8;18;37;46;53;14;6;FALSE
217793;360669;55;14/03/2009;13;9;2009;200,3;12;40;24;31;11;5;FALSE
217820;357283;60;22/02/2009;6;12;2009;223,6;17;23;37;38;23;4;FALSE
217822;471316;32;05/01/2012;12;10;2012;651,1;83;12;79;57;85;4;FALSE
217828;365882;50;14/04/2009;12;11;2009;256,7;8;6;18;52;10;8;TRUE
217836;443318;25;01/12/2010;8;12;2010;503,7;41;34;35;40;63;17;FALSE
217847;399612;40;16/11/2009;29;12;2009;289,8;19;3;31;13;38;12;FALSE
217854;362086;40;22/03/2009;9;11;2009;691,9;62;16;74;52;113;18;FALSE
217855;402694;25;07/12/2009;10;13;2009;369,3;13;15;9;31;10;18;FALSE
217859;493901;40;19/01/2013;25;15;2013;491,6;33;17;34;73;39;12;FALSE
217860;350997;30;21/01/2009;14;12;2009;294,1;15;36;7;67;10;6;FALSE
217876;380661;80;07/07/2009;8;5;2009;562,4;41;14;37;88;31;10;FALSE
217880;347874;85;07/01/2009;19;15;2009;1469;109;82;28;157;105;43;FALSE
217885;517995;45;18/08/2014;20;15;2014;950,5;42;21;19;87;26;46;FALSE
217887;447817;40;31/01/2011;6;10;2011;358;10;18;12;80;6;11;TRUE
217901;449555;33;25/02/2011;4;12;2011;233,3;18;26;33;20;22;7;FALSE
217902;502388;25;26/06/2013;14;4;2013;59,9;6;3;7;8;10;0;FALSE
217905;382461;65;22/07/2009;12;14;2009;209,1;18;16;7;26;12;3;FALSE
217912;394112;50;12/10/2009;12;11;2009;617,9;26;59;24;69;17;26;TRUE
217925;438030;165;22/09/2010;12;13;2010;325,5;20;5;11;84;18;2;FALSE
217936;366082;22;15/04/2009;9;5;2009;212,2;16;5;10;34;21;3;FALSE
217939;504280;45;19/07/2013;13;18;2013;334,1;18;17;22;47;12;11;FALSE
217953;349082;45;11/01/2009;6;6;2009;287,5;22;14;23;55;28;3;FALSE
217963;393651;30;08/10/2009;10;13;2009;347,7;31;4;29;17;64;10;FALSE
217971;348966;27;11/01/2009;8;10;2009;331,8;32;3;25;64;45;0;FALSE
217974;416601;45;15/03/2010;15;9;2010;263;16;37;64;48;10;6;FALSE
217981;348017;35;07/01/2009;13;15;2009;607,8;37;45;60;71;44;21;FALSE
217983;359622;80;08/03/2009;16;12;2009;438;30;100;45;20;41;18;FALSE
217990;352712;50;28/01/2009;16;14;2009;480,8;42;10;28;81;62;5;FALSE
217999;490853;50;25/11/2012;14;11;2012;369,4;23;25;6;57;31;9;FALSE
218003;468453;30;18/11/2011;8;4;2011;59,9;3;13;2;2;5;2;FALSE
218012;350211;70;16/01/2009;18;16;2009;231,4;20;11;22;12;40;7;FALSE
218018;438086;35;23/09/2010;7;14;2010;480,8;27;51;31;65;19;16;FALSE
218020;417843;50;24/03/2010;14;14;2010;490,6;25;28;29;77;17;16;FALSE
218026;536696;60;07/08/2018;25;9;2018;468,1;26;12;31;30;17;21;FALSE
218037;436291;40;30/08/2010;13;13;2010;502;31;13;21;118;43;4;FALSE
218051;457671;70;31/05/2011;7;8;2011;154;4;10;15;33;5;5;TRUE
218052;379976;70;02/07/2009;14;13;2009;496,9;45;17;22;34;46;13;FALSE
218053;350150;30;16/01/2009;8;6;2009;717;64;8;52;92;98;13;FALSE
218054;464035;50;12/09/2011;12;13;2011;219,7;11;25;37;36;10;6;FALSE
218063;418157;25;27/03/2010;6;5;2010;331,9;44;46;14;8;80;5;FALSE
218067;353825;60;04/02/2009;6;7;2009;211,4;19;12;38;6;37;7;FALSE
218071;412191;50;08/02/2010;13;10;2010;517;31;21;11;114;51;8;FALSE
218075;449612;30;26/02/2011;11;19;2011;370,9;43;24;27;34;81;4;FALSE
218077;443330;30;01/12/2010;10;15;2010;357,9;25;18;17;44;36;10;FALSE
218083;499069;30;17/04/2013;7;4;2013;213,2;16;0;3;56;14;0;FALSE
218088;414815;35;27/02/2010;11;9;2010;752,8;68;71;30;37;67;23;FALSE
218093;460681;60;21/07/2011;8;11;2011;271,1;11;11;32;45;9;10;TRUE
218102;408422;50;14/01/2010;4;7;2010;218,6;15;6;6;51;13;2;FALSE
218103;357830;30;25/02/2009;7;7;2009;248,8;25;4;4;40;17;1;FALSE
218104;395089;50;16/10/2009;11;8;2009;672,4;52;9;12;144;44;5;FALSE
218105;426078;30;17/05/2010;12;14;2010;322,1;21;43;6;62;19;5;FALSE
218138;535722;40;30/04/2018;17;15;2018;78;8;3;0;13;12;0;FALSE
218146;407499;75;08/01/2010;8;13;2010;39,4;2;7;13;4;2;1;FALSE
218148;441593;85;10/11/2010;12;10;2010;487;39;7;21;88;40;6;FALSE
218151;445984;35;07/01/2011;13;19;2011;731,5;58;69;85;86;63;19;FALSE
218152;388576;90;03/09/2009;9;14;2009;575,2;42;15;50;99;37;8;FALSE
218154;474339;50;16/02/2012;10;11;2012;323,1;24;13;47;61;31;4;FALSE
218155;393104;100;05/10/2009;10;14;2009;490,7;30;9;48;117;22;6;FALSE
218163;383376;50;29/07/2009;17;14;2009;343,5;28;18;31;61;24;4;FALSE
218164;379833;90;01/07/2009;26;18;2009;538;35;33;55;74;26;15;FALSE
218180;379988;85;02/07/2009;16;11;2009;482,1;32;6;30;69;54;12;FALSE
218199;468452;65;18/11/2011;17;16;2011;700,6;28;302;19;60;36;35;FALSE
218206;461447;35;02/08/2011;7;9;2011;31,2;2;1;3;5;2;0;FALSE
218207;349025;50;11/01/2009;9;13;2009;424,1;24;39;39;62;20;13;FALSE
218209;433448;60;27/07/2010;8;8;2010;602,9;64;0;8;51;117;10;FALSE
218211;395083;50;16/10/2009;11;13;2009;559,9;16;23;10;73;15;22;FALSE
218215;383180;25;28/07/2009;11;10;2009;202,4;9;10;9;60;4;2;FALSE
218218;454142;30;20/04/2011;13;13;2011;385,8;22;18;16;69;15;9;FALSE
218222;492971;40;03/01/2013;21;13;2013;51,1;4;2;6;3;2;1;FALSE
218238;469271;65;30/11/2011;11;8;2011;180,7;10;6;28;34;10;4;FALSE
218241;385960;60;18/08/2009;7;7;2009;352;23;14;32;54;38;8;FALSE
218243;415357;22;04/03/2010;4;12;2010;146,8;9;4;14;30;8;2;FALSE
218260;362674;40;24/03/2009;9;3;2009;184,9;5;18;53;20;3;9;TRUE
